config_id,model_name,learning_rate,batch_size,epochs,max_length,timestamp,f1_macro,f1_micro,auc_macro,val_loss,train_loss,epoch
ai-forever/ruBert-base__lr2e-05__bs16__ep10__ml256,ai-forever/ruBert-base,2e-05,16,10,256,2025-10-01T10:15:20.124269,0.5825027822593464,0.585879716100112,0.8271574307670337,0.4224695747666679,0.22930227087144217,4
ai-forever/ruBert-base__lr5e-05__bs32__ep10__ml256,ai-forever/ruBert-base,5e-05,32,10,256,2025-10-01T11:24:22.995806,0.5798686683331419,0.5841919548341566,0.813446305838084,0.5473294990269217,0.1160961135853045,5
ai-forever/ruBert-base__lr2e-05__bs32__ep10__ml256,ai-forever/ruBert-base,2e-05,32,10,256,2025-10-01T10:31:47.711589,0.5775102583711242,0.5837871970952719,0.8324827855212009,0.37695712472979476,0.30200102349909225,3
ai-forever/ruBert-base__lr5e-05__bs64__ep10__ml256,ai-forever/ruBert-base,5e-05,64,10,256,2025-10-01T11:40:36.938233,0.5767613616517179,0.5817789425003854,0.8302863636974089,0.39740225952118635,0.2812597028940563,3
ai-forever/ruBert-base__lr5e-05__bs16__ep10__ml256,ai-forever/ruBert-base,5e-05,16,10,256,2025-10-01T11:07:49.415381,0.5752038003526747,0.5773195876288659,0.8391156987767268,0.369011005570766,0.3256862692246943,2
ai-forever/ruBert-base__lr2e-05__bs64__ep10__ml256,ai-forever/ruBert-base,2e-05,64,10,256,2025-10-01T10:48:00.863003,0.575136458529844,0.5856697819314641,0.826950795781805,0.4014203851111233,0.2584371163911028,5
DeepPavlov/rubert-base-cased-conversational__lr5e-05__bs32__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,5e-05,32,10,256,2025-10-01T14:01:41.120904,0.5742692753631939,0.5832701924534021,0.8216823196517697,0.42186816376963937,0.24568079603042933,3
ai-forever/ruBert-base__lr0.0001__bs64__ep10__ml256,ai-forever/ruBert-base,0.0001,64,10,256,2025-10-01T09:55:31.919870,0.5715724143999796,0.5843283582089552,0.8297305255243743,0.40658963890746236,0.26229323326010007,3
DeepPavlov/rubert-base-cased-conversational__lr2e-05__bs64__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,2e-05,64,10,256,2025-10-01T13:25:30.779804,0.5712817620058457,0.5791390974648725,0.8103447992369607,0.47481541195884347,0.1638118473319668,7
ai-forever/ruBert-base__lr0.0001__bs32__ep10__ml256,ai-forever/ruBert-base,0.0001,32,10,256,2025-10-01T09:39:19.773747,0.5711447713670512,0.5805800028855865,0.800141177723138,0.7787308211871019,0.01835847724561054,8
DeepPavlov/rubert-base-cased-conversational__lr5e-05__bs64__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,5e-05,64,10,256,2025-10-01T14:17:47.874945,0.5705616298487055,0.5782806717904925,0.8014680177446261,0.5961891720071435,0.08507676957830375,6
DeepPavlov/rubert-base-cased-conversational__lr5e-05__bs16__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,5e-05,16,10,256,2025-10-01T13:45:14.228553,0.5685782216957966,0.5763091570988519,0.7922381935579828,0.8830459836443423,0.0072762865422716285,10
DeepPavlov/rubert-base-cased-conversational__lr2e-05__bs32__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,2e-05,32,10,256,2025-10-01T13:09:21.678424,0.5683152860114145,0.5709663185762612,0.8141482718385223,0.5061293136416458,0.13735291661676205,6
DeepPavlov/rubert-base-cased-conversational__lr2e-05__bs16__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,2e-05,16,10,256,2025-10-01T12:52:52.902595,0.5682980045686671,0.5729214691870294,0.8246785953090743,0.4092644617373764,0.26721974019223327,3
DeepPavlov/rubert-base-cased-conversational__lr0.0001__bs64__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,0.0001,64,10,256,2025-10-01T12:33:07.067423,0.5665901462036871,0.5694849368318756,0.7940902510349084,0.6628817017190158,0.07866145477155334,6
ai-forever/ruBert-base__lr0.0001__bs16__ep10__ml256,ai-forever/ruBert-base,0.0001,16,10,256,2025-10-01T09:22:54.640606,0.564500157881029,0.5748969982342554,0.8107505876719535,0.48540595285741706,0.1974081624782948,4
DeepPavlov/rubert-base-cased-conversational__lr0.0001__bs32__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,0.0001,32,10,256,2025-10-01T12:16:54.931639,0.5614737363149762,0.5754352686132376,0.7950112283271616,0.6344642934836741,0.11293061208164337,5
DeepPavlov/rubert-base-cased-conversational__lr0.0001__bs16__ep10__ml256,DeepPavlov/rubert-base-cased-conversational,0.0001,16,10,256,2025-10-01T12:00:29.449825,0.541666319916242,0.5508769438329901,0.7822689269421101,0.6332720976337614,0.10927164417435853,6
cointegrated/rubert-tiny2__lr5e-05__bs16__ep10__ml256,cointegrated/rubert-tiny2,5e-05,16,10,256,2025-10-01T08:57:12.408407,0.536769564923876,0.5489306545690213,0.8120054267592082,0.392882387334179,0.328853494377864,3
cointegrated/rubert-tiny2__lr0.0001__bs64__ep10__ml256,cointegrated/rubert-tiny2,0.0001,64,10,256,2025-10-01T08:45:21.673525,0.5353911879661793,0.5507311925222373,0.7940590960394063,0.4533798759803176,0.24131526771505832,5
cointegrated/rubert-tiny2__lr5e-05__bs32__ep10__ml256,cointegrated/rubert-tiny2,5e-05,32,10,256,2025-10-01T09:00:04.726942,0.5318474877051445,0.5534561486380097,0.8024327430273994,0.41462291389938416,0.2873969091047155,5
cointegrated/rubert-tiny2__lr2e-05__bs16__ep10__ml256,cointegrated/rubert-tiny2,2e-05,16,10,256,2025-10-01T08:48:24.366788,0.5309312596943518,0.5516855727752037,0.8066223035982385,0.3989531520327089,0.3023139420893077,10
cointegrated/rubert-tiny2__lr5e-05__bs64__ep10__ml256,cointegrated/rubert-tiny2,5e-05,64,10,256,2025-10-01T09:02:56.752609,0.5301322117696865,0.5487324830735317,0.7984389507751054,0.4168571927584708,0.28623474892891443,7
cointegrated/rubert-tiny2__lr0.0001__bs32__ep10__ml256,cointegrated/rubert-tiny2,0.0001,32,10,256,2025-10-01T08:42:31.451614,0.5258805190276137,0.5410246679316888,0.7954274668690655,0.45145047344560696,0.246902464462979,4
cointegrated/rubert-tiny2__lr0.0001__bs16__ep10__ml256,cointegrated/rubert-tiny2,0.0001,16,10,256,2025-10-01T08:39:41.088192,0.5252733100645335,0.5488549013392503,0.8019741916043861,0.41967420344767364,0.2837977275414793,3
cointegrated/rubert-tiny2__lr2e-05__bs32__ep10__ml256,cointegrated/rubert-tiny2,2e-05,32,10,256,2025-10-01T08:51:15.618386,0.5170698405219274,0.5476736566186108,0.8063458198415323,0.3924906629277027,0.33102277653052076,10
cointegrated/rubert-tiny2__lr2e-05__bs64__ep10__ml256,cointegrated/rubert-tiny2,2e-05,64,10,256,2025-10-01T08:54:08.011945,0.4712595089883839,0.5245760523370921,0.7955644026978902,0.39798835245892406,0.3605492009299075,10
